Complexity,Fitness,Equation 0,Equation 1
2,2.0877175,-0.310,x0
4,0.96596587,-3.73*x0,x1
6,0.95079714,-x0*x1 + 1.85,-0.159
8,0.9350711,-0.418*x0*x1,-1.09*x1
10,0.9295178,x1*(-0.294*x0 - 0.0954) + 1.39,-0.0866
12,0.72063255,-0.208*x0*x1 + x0,0.516*x0 - 1.49
14,0.24794859,-0.343*x0*x1 + x0,x1*(0.107*x0 - 0.404)
16,0.042028576,-0.408*x0*x1 + x0,x1*(0.111*x0 - 0.457)
18,0.040986944,-0.41*x0*x1 + x0,x1*(0.112*x0 - 0.459)
22,0.040976137,-0.41*x0*x1 + x0,x1*(0.112*x0 - 0.459)
24,0.040408365,-0.403*x0*x1 + 1.13*x0,-0.29*(1.29 - 0.334*x0)*(x1 + 0.0997)
28,0.03681572,-0.403*x0*x1 + 1.13*x0,-0.29*(1.29 - 0.333*x0)*(x1 + 0.0997)
