Complexity,Loss,Equation
1,2.7275,"X"
3,1.0061812,"(1.636579 ^ X)"
5,0.17381348,"(1.9075576 ^ (-1.4233652 + X))"
7,0.07298981,"(((2.0032082 ^ X) - -1.4325289) / 3.4365869)"
9,0.07297275,"((((2.0032082 ^ X) - -1.4325289) + 0.0007800354) / 3.4365869)"
11,0.057749137,"((((1.9845616 + (0.055973522 ^ X)) ^ X) / 3.241927) + 0.3716523)"
13,0.054415427,"((((1.9845616 ^ X) - (-0.08997208 / (X - -0.7925517))) / 3.241927) + 0.3716523)"
15,0.05338785,"(((1.9845616 ^ X) / (3.241927 - ((-0.044901416 ^ X) * (0.3716523 - X)))) + 0.3716523)"
17,0.031135887,"(((1.9665775 ^ X) / (3.128369 - (((-0.07854711 * X) ^ X) * (X / 1.0939202)))) + 0.35498884)"
19,0.029132366,"(((1.9665775 ^ X) / (3.128369 - (((-0.07854711 * X) ^ X) * (X / 1.0939202)))) + (0.2563978 ^ 0.7457112))"
