Complexity,Loss,Equation
1,2516.8416,"666.2743"
3,716.7703,"(1131.1852 * X)"
5,1.9664472,"(362.75092 * (X ^ 1.5050097))"
7,1.7273585,"((362.75153 * (X ^ 1.5049745)) - -0.84182125)"
9,1.5333353,"((362.75092 * ((X - -0.0056098155) ^ 1.5050097)) - X)"
11,1.2461319,"((362.75092 + ((1.5050097 / X) ^ X)) * (X ^ 1.5050097))"
13,1.0155004,"(((((X - -0.053402107) ^ 0.5115617) / 0.0028053955) * X) + (-1.3961289 / X))"
15,0.69717026,"((((((X - -0.067759685) ^ 0.5115617) / 0.0028053955) * X) - X) + (-2.1565213 / X))"
17,0.578448,"((((((X - -0.067759685) ^ 0.5115617) / 0.0028053955) * X) - X) - (0.14982107 ^ (-1.3683223 + X)))"
19,0.5195923,"((((((X - -0.067759685) ^ 0.5115617) / 0.0028053955) * X) - X) - ((0.14982107 ^ (-1.3683223 + X)) * 0.78059477))"
