Complexity,Loss,Equation
1,9.657968,"42.680653"
3,6.60254,"(1086.2963 / r)"
5,4.832595,"((m2 - r) / 0.74298275)"
7,1.7657274,"((m2 * (0.31707656 * m1)) / r)"
9,0.06796748,"(((m1 - r) - (23.455078 + r)) + m2)"
11,0.0676548,"((m1 - (23.51576 + ((r - m2) * 1.0019646))) - r)"
13,0.06738517,"((m1 - ((23.514656 + ((r * 1.0023416) - 0.116388574)) + r)) + m2)"
15,0.067372955,"(((m1 + ((0.66363746 ^ r) * m1)) - ((23.454874 + r) + r)) + m2)"
17,0.06713518,"(m1 - ((23.45917 + (r - (m2 - (((0.66363746 ^ r) * m1) * -1.5328557)))) + r))"
19,0.066056125,"(((m1 + ((0.14869139 / m1) / ((m2 - -0.9374002) - m1))) - ((23.454874 + r) + r)) + m2)"
